401 	 Q0 	 FBIS3-18024          	 0       	 1,922.7993 	 lucene
401 	 Q0 	 FBIS3-26069          	 43      	 1,264.4497 	 lucene
401 	 Q0 	 FBIS4-55123          	 44      	 1,260.4503 	 lucene
401 	 Q0 	 FBIS4-42985          	 45      	 1,258.2446 	 lucene
401 	 Q0 	 FBIS3-39240          	 46      	 1,257.5084 	 lucene
401 	 Q0 	 FBIS4-30947          	 47      	 1,252.7913 	 lucene
401 	 Q0 	 LA021590-0208        	 48      	 1,250.1482 	 lucene
401 	 Q0 	 FBIS3-9465           	 49      	 1,249.3730 	 lucene
401 	 Q0 	 FBIS4-9504           	 50      	 1,248.8098 	 lucene
401 	 Q0 	 FR940720-2-00020     	 51      	 1,247.6581 	 lucene
401 	 Q0 	 FBIS4-30775          	 52      	 1,245.6790 	 lucene
401 	 Q0 	 FT923-3130           	 53      	 1,245.1021 	 lucene
401 	 Q0 	 FBIS4-55980          	 54      	 1,239.9650 	 lucene
401 	 Q0 	 FBIS3-18733          	 55      	 1,237.9971 	 lucene
401 	 Q0 	 FT923-4063           	 56      	 1,237.8252 	 lucene
401 	 Q0 	 FBIS4-55036          	 57      	 1,232.8828 	 lucene
401 	 Q0 	 FBIS3-58007          	 58      	 1,230.3672 	 lucene
401 	 Q0 	 FBIS3-58037          	 59      	 1,230.3672 	 lucene
401 	 Q0 	 FBIS3-51703          	 60      	 1,226.6155 	 lucene
401 	 Q0 	 FBIS4-32132          	 61      	 1,225.7469 	 lucene
401 	 Q0 	 LA021490-0049        	 62      	 1,224.9570 	 lucene
401 	 Q0 	 FBIS4-66152          	 63      	 1,224.9324 	 lucene
401 	 Q0 	 FBIS4-16605          	 64      	 1,218.9719 	 lucene
401 	 Q0 	 FBIS4-42750          	 65      	 1,217.2421 	 lucene
401 	 Q0 	 FT941-12886          	 66      	 1,211.3517 	 lucene
401 	 Q0 	 FT932-5626           	 67      	 1,209.3394 	 lucene
401 	 Q0 	 FBIS3-16061          	 68      	 1,207.1083 	 lucene
401 	 Q0 	 FBIS3-49716          	 69      	 1,205.6482 	 lucene
401 	 Q0 	 FBIS4-10777          	 70      	 1,204.8787 	 lucene
401 	 Q0 	 FBIS3-58286          	 71      	 1,202.9255 	 lucene
401 	 Q0 	 FBIS3-19458          	 72      	 1,202.6318 	 lucene
401 	 Q0 	 FBIS3-36960          	 73      	 1,202.4692 	 lucene
401 	 Q0 	 FBIS4-33985          	 74      	 1,200.2654 	 lucene
401 	 Q0 	 FBIS4-18659          	 75      	 1,197.8805 	 lucene
401 	 Q0 	 FBIS4-32464          	 76      	 1,197.7258 	 lucene
401 	 Q0 	 FBIS4-8682           	 77      	 1,190.7413 	 lucene
401 	 Q0 	 FBIS4-11261          	 78      	 1,190.5471 	 lucene
401 	 Q0 	 FBIS3-49544          	 79      	 1,188.3722 	 lucene
401 	 Q0 	 FBIS3-45242          	 80      	 1,188.1492 	 lucene
401 	 Q0 	 FBIS4-56146          	 81      	 1,186.2803 	 lucene
401 	 Q0 	 FBIS3-20329          	 82      	 1,185.8481 	 lucene
401 	 Q0 	 FBIS3-39117          	 83      	 1,184.6270 	 lucene
401 	 Q0 	 FBIS4-64883          	 84      	 1,182.0377 	 lucene
401 	 Q0 	 LA100390-0011        	 85      	 1,176.4229 	 lucene
401 	 Q0 	 FT933-3792           	 86      	 1,174.9349 	 lucene
401 	 Q0 	 FBIS3-59123          	 87      	 1,173.8076 	 lucene
401 	 Q0 	 FR940317-2-00052     	 88      	 1,173.4092 	 lucene
401 	 Q0 	 FBIS4-62023          	 89      	 1,172.3894 	 lucene
401 	 Q0 	 FBIS4-42388          	 90      	 1,171.4500 	 lucene
401 	 Q0 	 FT932-10335          	 91      	 1,169.9000 	 lucene
401 	 Q0 	 FBIS4-9057           	 92      	 1,168.9753 	 lucene
401 	 Q0 	 FT943-12593          	 93      	 1,168.6235 	 lucene
401 	 Q0 	 FBIS4-66081          	 94      	 1,168.2782 	 lucene
401 	 Q0 	 FBIS3-31659          	 95      	 1,167.9487 	 lucene
401 	 Q0 	 FT924-4955           	 96      	 1,166.7904 	 lucene
401 	 Q0 	 FT942-2610           	 97      	 1,164.6976 	 lucene
401 	 Q0 	 FBIS3-27371          	 98      	 1,164.2744 	 lucene
401 	 Q0 	 FBIS3-42872          	 99      	 1,163.0621 	 lucene
401 	 Q0 	 FBIS3-18410          	 100     	 1,161.2512 	 lucene
401 	 Q0 	 FBIS3-55690          	 101     	 1,161.2410 	 lucene
401 	 Q0 	 FBIS4-62151          	 102     	 1,160.7129 	 lucene
401 	 Q0 	 FBIS3-18916          	 103     	 1,156.4054 	 lucene
401 	 Q0 	 FBIS3-15904          	 104     	 1,154.4360 	 lucene
401 	 Q0 	 FBIS3-56998          	 105     	 1,154.4335 	 lucene
401 	 Q0 	 FBIS3-58627          	 106     	 1,154.3364 	 lucene
401 	 Q0 	 FBIS4-53787          	 107     	 1,154.1708 	 lucene
401 	 Q0 	 FBIS4-62200          	 108     	 1,153.6256 	 lucene
401 	 Q0 	 FBIS4-16411          	 109     	 1,152.7921 	 lucene
401 	 Q0 	 FBIS4-9582           	 110     	 1,152.6448 	 lucene
401 	 Q0 	 FBIS4-9068           	 111     	 1,152.3494 	 lucene
401 	 Q0 	 FT942-5121           	 112     	 1,151.5164 	 lucene
401 	 Q0 	 FT942-5131           	 113     	 1,151.5164 	 lucene
401 	 Q0 	 FBIS3-19577          	 114     	 1,150.2247 	 lucene
401 	 Q0 	 FBIS4-51651          	 115     	 1,150.1152 	 lucene
401 	 Q0 	 FT924-5845           	 116     	 1,149.8394 	 lucene
401 	 Q0 	 FBIS3-50680          	 117     	 1,147.9724 	 lucene
401 	 Q0 	 FBIS4-43047          	 118     	 1,147.4453 	 lucene
401 	 Q0 	 FBIS3-21428          	 119     	 1,146.4026 	 lucene
401 	 Q0 	 FBIS3-49719          	 120     	 1,146.0874 	 lucene
401 	 Q0 	 FBIS4-63292          	 121     	 1,145.1073 	 lucene
401 	 Q0 	 FBIS4-32612          	 122     	 1,142.3926 	 lucene
401 	 Q0 	 FBIS3-41386          	 123     	 1,142.1144 	 lucene
401 	 Q0 	 LA032090-0092        	 124     	 1,141.6779 	 lucene
401 	 Q0 	 FT944-5307           	 125     	 1,141.6465 	 lucene
401 	 Q0 	 FBIS3-19645          	 126     	 1,141.0247 	 lucene
401 	 Q0 	 FBIS3-10502          	 127     	 1,140.9697 	 lucene
401 	 Q0 	 FBIS3-18833          	 128     	 1,140.8833 	 lucene
401 	 Q0 	 FBIS4-31119          	 129     	 1,140.2512 	 lucene
401 	 Q0 	 FBIS4-8580           	 130     	 1,139.9980 	 lucene
401 	 Q0 	 FBIS3-49532          	 131     	 1,139.0544 	 lucene
401 	 Q0 	 FBIS3-57781          	 132     	 1,138.3320 	 lucene
401 	 Q0 	 FT942-10203          	 133     	 1,137.1475 	 lucene
401 	 Q0 	 FT944-3484           	 134     	 1,136.3214 	 lucene
401 	 Q0 	 FBIS4-8587           	 135     	 1,135.6438 	 lucene
401 	 Q0 	 FT911-1797           	 136     	 1,135.4635 	 lucene
401 	 Q0 	 FT941-16483          	 137     	 1,134.2352 	 lucene
401 	 Q0 	 FBIS3-45308          	 138     	 1,132.7177 	 lucene
401 	 Q0 	 FBIS3-20090          	 139     	 1,130.1622 	 lucene
401 	 Q0 	 FBIS3-8570           	 140     	 1,129.7498 	 lucene
401 	 Q0 	 FT941-15215          	 141     	 1,128.8372 	 lucene
401 	 Q0 	 FBIS3-32470          	 142     	 1,128.7971 	 lucene
401 	 Q0 	 FBIS3-56189          	 143     	 1,127.4393 	 lucene
401 	 Q0 	 FBIS4-30880          	 144     	 1,127.4135 	 lucene
401 	 Q0 	 FBIS3-32990          	 145     	 1,127.2303 	 lucene
401 	 Q0 	 LA093090-0200        	 146     	 1,126.5577 	 lucene
401 	 Q0 	 FBIS4-42224          	 147     	 1,125.8777 	 lucene
401 	 Q0 	 FT924-655            	 148     	 1,125.7699 	 lucene
401 	 Q0 	 FBIS4-31230          	 149     	 1,124.2882 	 lucene
401 	 Q0 	 FR940328-2-00119     	 150     	 1,123.8953 	 lucene
401 	 Q0 	 FT943-5559           	 151     	 1,123.7638 	 lucene
401 	 Q0 	 FBIS3-45516          	 152     	 1,123.7446 	 lucene
401 	 Q0 	 FT933-2237           	 153     	 1,122.7527 	 lucene
401 	 Q0 	 FBIS4-46935          	 154     	 1,121.7367 	 lucene
401 	 Q0 	 FBIS4-55018          	 155     	 1,121.4625 	 lucene
401 	 Q0 	 FBIS3-50017          	 156     	 1,121.3008 	 lucene
401 	 Q0 	 FBIS3-39835          	 157     	 1,120.2820 	 lucene
401 	 Q0 	 FBIS3-19381          	 158     	 1,119.9972 	 lucene
401 	 Q0 	 FBIS3-16320          	 159     	 1,118.1592 	 lucene
401 	 Q0 	 FBIS3-58219          	 160     	 1,117.7848 	 lucene
401 	 Q0 	 FBIS3-39889          	 161     	 1,117.5165 	 lucene
401 	 Q0 	 FBIS4-43367          	 162     	 1,114.2842 	 lucene
401 	 Q0 	 LA051189-0006        	 163     	 1,114.1263 	 lucene
401 	 Q0 	 FT931-13730          	 164     	 1,113.8877 	 lucene
401 	 Q0 	 FT921-13143          	 165     	 1,113.3425 	 lucene
401 	 Q0 	 FT924-11216          	 166     	 1,113.0538 	 lucene
401 	 Q0 	 FT931-8991           	 167     	 1,112.1012 	 lucene
401 	 Q0 	 FBIS3-14738          	 168     	 1,111.7147 	 lucene
401 	 Q0 	 FBIS4-38611          	 169     	 1,111.1123 	 lucene
401 	 Q0 	 FT932-2634           	 170     	 1,109.4867 	 lucene
401 	 Q0 	 LA010489-0026        	 171     	 1,109.4155 	 lucene
401 	 Q0 	 FT921-16136          	 172     	 1,109.2316 	 lucene
401 	 Q0 	 LA011589-0050        	 173     	 1,109.1892 	 lucene
401 	 Q0 	 FT933-13479          	 174     	 1,108.7740 	 lucene
401 	 Q0 	 FBIS3-8977           	 175     	 1,108.6544 	 lucene
401 	 Q0 	 FBIS3-17077          	 176     	 1,108.5328 	 lucene
401 	 Q0 	 FBIS4-55688          	 177     	 1,107.6233 	 lucene
401 	 Q0 	 FBIS3-46172          	 178     	 1,107.1118 	 lucene
401 	 Q0 	 FBIS3-32685          	 179     	 1,106.4808 	 lucene
401 	 Q0 	 FBIS3-41103          	 180     	 1,105.8246 	 lucene
401 	 Q0 	 FBIS4-65998          	 181     	 1,105.3524 	 lucene
401 	 Q0 	 FBIS4-5644           	 182     	 1,104.9432 	 lucene
401 	 Q0 	 FBIS4-32205          	 183     	 1,104.3442 	 lucene
401 	 Q0 	 FBIS4-66148          	 184     	 1,103.7791 	 lucene
401 	 Q0 	 FT934-2268           	 185     	 1,103.5712 	 lucene
401 	 Q0 	 FT921-13979          	 186     	 1,103.3013 	 lucene
401 	 Q0 	 FT923-12177          	 187     	 1,102.1450 	 lucene
401 	 Q0 	 FBIS3-8422           	 188     	 1,101.6636 	 lucene
401 	 Q0 	 FBIS3-39554          	 189     	 1,101.4873 	 lucene
401 	 Q0 	 FT933-8639           	 190     	 1,101.4515 	 lucene
401 	 Q0 	 FBIS3-51388          	 191     	 1,101.1163 	 lucene
401 	 Q0 	 FT931-10513          	 192     	 1,100.8951 	 lucene
401 	 Q0 	 FT942-12573          	 193     	 1,100.5798 	 lucene
401 	 Q0 	 FBIS4-63224          	 194     	 1,098.5431 	 lucene
401 	 Q0 	 FBIS3-17036          	 195     	 1,097.6648 	 lucene
401 	 Q0 	 FT924-7265           	 196     	 1,096.7684 	 lucene
401 	 Q0 	 FBIS4-63976          	 197     	 1,096.5822 	 lucene
401 	 Q0 	 FBIS4-53979          	 198     	 1,096.4490 	 lucene
401 	 Q0 	 FBIS3-19488          	 199     	 1,096.2372 	 lucene
401 	 Q0 	 LA021389-0087        	 200     	 1,095.9674 	 lucene
401 	 Q0 	 LA111089-0142        	 201     	 1,095.9047 	 lucene
401 	 Q0 	 FBIS4-66050          	 202     	 1,095.4457 	 lucene
401 	 Q0 	 FT934-104            	 203     	 1,095.0586 	 lucene
401 	 Q0 	 LA120789-0157        	 204     	 1,094.4980 	 lucene
401 	 Q0 	 LA011589-0001        	 205     	 1,094.4496 	 lucene
401 	 Q0 	 FT931-16878          	 206     	 1,094.0400 	 lucene
401 	 Q0 	 LA043090-0043        	 207     	 1,092.5259 	 lucene
401 	 Q0 	 FBIS4-11325          	 208     	 1,090.5776 	 lucene
401 	 Q0 	 FBIS4-65064          	 209     	 1,089.9774 	 lucene
401 	 Q0 	 FBIS3-59034          	 210     	 1,089.6094 	 lucene
401 	 Q0 	 FBIS4-7646           	 211     	 1,087.9725 	 lucene
401 	 Q0 	 FR941104-2-00085     	 212     	 1,086.6077 	 lucene
401 	 Q0 	 FBIS3-10751          	 213     	 1,086.2494 	 lucene
401 	 Q0 	 FBIS4-61507          	 214     	 1,085.0874 	 lucene
401 	 Q0 	 FT943-5819           	 215     	 1,084.4587 	 lucene
401 	 Q0 	 FBIS4-55313          	 216     	 1,082.8701 	 lucene
401 	 Q0 	 FBIS4-66540          	 217     	 1,082.6189 	 lucene
401 	 Q0 	 FBIS4-37163          	 218     	 1,080.9762 	 lucene
401 	 Q0 	 FBIS4-9010           	 219     	 1,080.9446 	 lucene
401 	 Q0 	 FBIS3-17157          	 220     	 1,080.9395 	 lucene
401 	 Q0 	 FBIS4-65719          	 221     	 1,080.2549 	 lucene
401 	 Q0 	 FT941-10142          	 222     	 1,080.1882 	 lucene
401 	 Q0 	 FBIS3-19643          	 223     	 1,079.0870 	 lucene
401 	 Q0 	 FBIS3-39318          	 224     	 1,078.8348 	 lucene
401 	 Q0 	 FT932-8519           	 225     	 1,078.0480 	 lucene
401 	 Q0 	 FBIS3-36830          	 226     	 1,078.0303 	 lucene
401 	 Q0 	 FT942-12998          	 227     	 1,077.7338 	 lucene
401 	 Q0 	 FBIS3-20360          	 228     	 1,077.4017 	 lucene
401 	 Q0 	 FBIS4-44306          	 229     	 1,076.3350 	 lucene
401 	 Q0 	 FBIS3-18684          	 230     	 1,074.9958 	 lucene
401 	 Q0 	 FBIS3-8505           	 231     	 1,074.4463 	 lucene
401 	 Q0 	 FT934-2443           	 232     	 1,072.5132 	 lucene
401 	 Q0 	 FBIS4-65094          	 233     	 1,072.4910 	 lucene
401 	 Q0 	 FT933-16953          	 234     	 1,071.6953 	 lucene
401 	 Q0 	 FBIS3-8131           	 235     	 1,070.0847 	 lucene
401 	 Q0 	 FT924-11405          	 236     	 1,069.9692 	 lucene
401 	 Q0 	 FT942-9962           	 237     	 1,067.8456 	 lucene
401 	 Q0 	 FT922-3575           	 238     	 1,067.7972 	 lucene
401 	 Q0 	 FT931-9354           	 239     	 1,066.9838 	 lucene
401 	 Q0 	 FT932-6653           	 240     	 1,066.8079 	 lucene
401 	 Q0 	 LA030489-0031        	 241     	 1,066.6150 	 lucene
401 	 Q0 	 FT942-254            	 242     	 1,065.7107 	 lucene
401 	 Q0 	 FBIS4-65671          	 243     	 1,065.6492 	 lucene
401 	 Q0 	 FR940825-1-00039     	 244     	 1,065.5406 	 lucene
401 	 Q0 	 FT942-16369          	 245     	 1,065.2714 	 lucene
401 	 Q0 	 FBIS3-19893          	 246     	 1,065.0634 	 lucene
401 	 Q0 	 FBIS3-46978          	 247     	 1,064.7975 	 lucene
401 	 Q0 	 FBIS3-17784          	 248     	 1,064.7656 	 lucene
401 	 Q0 	 LA102690-0021        	 249     	 1,064.5387 	 lucene
401 	 Q0 	 FT931-9196           	 250     	 1,064.2544 	 lucene
401 	 Q0 	 FBIS4-66153          	 251     	 1,064.0249 	 lucene
401 	 Q0 	 FT924-11400          	 252     	 1,063.4900 	 lucene
401 	 Q0 	 FBIS4-9059           	 253     	 1,063.2374 	 lucene
401 	 Q0 	 FT934-15047          	 254     	 1,062.8771 	 lucene
401 	 Q0 	 FR940825-1-00040     	 255     	 1,062.4731 	 lucene
401 	 Q0 	 FBIS4-56751          	 256     	 1,061.2225 	 lucene
401 	 Q0 	 FT932-1950           	 257     	 1,059.8052 	 lucene
401 	 Q0 	 FBIS3-7813           	 258     	 1,059.0066 	 lucene
401 	 Q0 	 FT931-16840          	 259     	 1,058.0861 	 lucene
401 	 Q0 	 FT931-16995          	 260     	 1,058.0861 	 lucene
401 	 Q0 	 LA111889-0168        	 261     	 1,057.8660 	 lucene
401 	 Q0 	 LA110690-0075        	 262     	 1,057.6228 	 lucene
401 	 Q0 	 LA122990-0070        	 263     	 1,057.6176 	 lucene
401 	 Q0 	 LA071290-0092        	 264     	 1,057.3617 	 lucene
401 	 Q0 	 FBIS4-56375          	 265     	 1,056.3921 	 lucene
401 	 Q0 	 FBIS4-18398          	 266     	 1,056.0452 	 lucene
401 	 Q0 	 FBIS3-31818          	 267     	 1,055.8088 	 lucene
401 	 Q0 	 FR940825-1-00042     	 268     	 1,054.4746 	 lucene
401 	 Q0 	 FBIS4-32713          	 269     	 1,054.0728 	 lucene
401 	 Q0 	 LA092390-0177        	 270     	 1,053.8308 	 lucene
401 	 Q0 	 FBIS4-11369          	 271     	 1,053.2489 	 lucene
401 	 Q0 	 LA060490-0050        	 272     	 1,053.1714 	 lucene
401 	 Q0 	 FT923-4647           	 273     	 1,053.0005 	 lucene
401 	 Q0 	 FBIS3-30705          	 274     	 1,052.2638 	 lucene
401 	 Q0 	 FT924-4344           	 275     	 1,051.5571 	 lucene
401 	 Q0 	 FT923-5991           	 276     	 1,050.5981 	 lucene
401 	 Q0 	 FBIS4-32200          	 277     	 1,050.4828 	 lucene
401 	 Q0 	 FT943-2173           	 278     	 1,050.4774 	 lucene
401 	 Q0 	 FT924-15540          	 279     	 1,050.2875 	 lucene
401 	 Q0 	 FBIS4-42162          	 280     	 1,050.0771 	 lucene
401 	 Q0 	 LA121590-0058        	 281     	 1,050.0105 	 lucene
401 	 Q0 	 FT924-9865           	 282     	 1,049.7217 	 lucene
401 	 Q0 	 LA100290-0174        	 283     	 1,049.6121 	 lucene
401 	 Q0 	 FT941-5413           	 284     	 1,048.9778 	 lucene
401 	 Q0 	 FBIS3-50769          	 285     	 1,048.3240 	 lucene
401 	 Q0 	 FBIS3-17498          	 286     	 1,047.5841 	 lucene
401 	 Q0 	 FBIS4-65538          	 287     	 1,047.3364 	 lucene
401 	 Q0 	 FT922-1684           	 288     	 1,046.6882 	 lucene
401 	 Q0 	 FT932-5625           	 289     	 1,046.5647 	 lucene
401 	 Q0 	 FT933-2049           	 290     	 1,046.4613 	 lucene
401 	 Q0 	 FT944-2368           	 291     	 1,046.2996 	 lucene
401 	 Q0 	 FT944-2530           	 292     	 1,046.2996 	 lucene
401 	 Q0 	 FBIS4-1723           	 293     	 1,046.2671 	 lucene
401 	 Q0 	 FBIS3-30217          	 294     	 1,046.1577 	 lucene
401 	 Q0 	 FBIS3-30291          	 295     	 1,046.1577 	 lucene
401 	 Q0 	 FBIS3-6482           	 296     	 1,045.8630 	 lucene
401 	 Q0 	 FBIS3-58523          	 297     	 1,045.1741 	 lucene
401 	 Q0 	 FBIS3-35854          	 298     	 1,044.3789 	 lucene
401 	 Q0 	 FBIS4-65905          	 299     	 1,044.1099 	 lucene
401 	 Q0 	 FBIS3-42013          	 300     	 1,042.5435 	 lucene
401 	 Q0 	 FT923-4680           	 301     	 1,042.1539 	 lucene
401 	 Q0 	 LA040590-0157        	 302     	 1,041.8317 	 lucene
401 	 Q0 	 FBIS4-39316          	 303     	 1,041.7356 	 lucene
401 	 Q0 	 FT944-17986          	 304     	 1,041.6624 	 lucene
401 	 Q0 	 FBIS4-10589          	 305     	 1,041.6487 	 lucene
401 	 Q0 	 FBIS3-30236          	 306     	 1,041.1674 	 lucene
401 	 Q0 	 FBIS3-60813          	 307     	 1,040.7135 	 lucene
401 	 Q0 	 FBIS3-32030          	 308     	 1,040.3436 	 lucene
401 	 Q0 	 FBIS3-32057          	 309     	 1,040.3436 	 lucene
401 	 Q0 	 FT944-15017          	 310     	 1,040.0040 	 lucene
401 	 Q0 	 LA032890-0097        	 311     	 1,039.6862 	 lucene
401 	 Q0 	 FT933-2163           	 312     	 1,039.4536 	 lucene
401 	 Q0 	 FT944-16194          	 313     	 1,039.4349 	 lucene
401 	 Q0 	 FBIS3-38290          	 314     	 1,039.0188 	 lucene
401 	 Q0 	 FBIS3-32860          	 315     	 1,038.8231 	 lucene
401 	 Q0 	 FBIS3-8308           	 316     	 1,038.7637 	 lucene
401 	 Q0 	 FBIS3-19380          	 317     	 1,038.7017 	 lucene
401 	 Q0 	 FBIS3-32822          	 318     	 1,037.9550 	 lucene
401 	 Q0 	 FBIS3-50401          	 319     	 1,037.4203 	 lucene
401 	 Q0 	 FR940713-2-00172     	 320     	 1,036.6646 	 lucene
401 	 Q0 	 FBIS4-53980          	 321     	 1,036.5687 	 lucene
401 	 Q0 	 LA041290-0004        	 322     	 1,036.4316 	 lucene
401 	 Q0 	 FBIS3-2837           	 323     	 1,036.1379 	 lucene
401 	 Q0 	 FT921-1808           	 324     	 1,035.3943 	 lucene
401 	 Q0 	 FBIS3-31802          	 325     	 1,035.3274 	 lucene
401 	 Q0 	 FBIS4-65933          	 326     	 1,035.2201 	 lucene
401 	 Q0 	 LA061589-0041        	 327     	 1,035.0065 	 lucene
401 	 Q0 	 FBIS4-65309          	 328     	 1,034.7275 	 lucene
401 	 Q0 	 FT931-14268          	 329     	 1,033.9417 	 lucene
401 	 Q0 	 FBIS4-22286          	 330     	 1,033.6746 	 lucene
401 	 Q0 	 FBIS3-20321          	 331     	 1,033.0770 	 lucene
401 	 Q0 	 FBIS4-8585           	 332     	 1,032.7012 	 lucene
401 	 Q0 	 FT923-6593           	 333     	 1,032.3075 	 lucene
401 	 Q0 	 FBIS4-64139          	 334     	 1,032.2402 	 lucene
401 	 Q0 	 LA081089-0099        	 335     	 1,032.2117 	 lucene
401 	 Q0 	 FT941-1403           	 336     	 1,032.0853 	 lucene
401 	 Q0 	 FBIS4-64477          	 337     	 1,031.7997 	 lucene
401 	 Q0 	 FBIS3-37510          	 338     	 1,030.7048 	 lucene
401 	 Q0 	 FBIS4-65173          	 339     	 1,030.5403 	 lucene
401 	 Q0 	 FBIS4-21244          	 340     	 1,030.3241 	 lucene
401 	 Q0 	 FT924-7774           	 341     	 1,029.5508 	 lucene
401 	 Q0 	 FBIS3-27513          	 342     	 1,029.4430 	 lucene
401 	 Q0 	 FBIS4-57935          	 343     	 1,027.9402 	 lucene
401 	 Q0 	 FBIS3-18022          	 344     	 1,027.7875 	 lucene
401 	 Q0 	 FT934-17339          	 345     	 1,027.2557 	 lucene
401 	 Q0 	 FT934-4092           	 346     	 1,027.2175 	 lucene
401 	 Q0 	 FBIS3-17087          	 347     	 1,026.0519 	 lucene
401 	 Q0 	 LA030890-0165        	 348     	 1,024.9565 	 lucene
401 	 Q0 	 FR941205-0-00010     	 349     	 1,023.9327 	 lucene
401 	 Q0 	 FT922-4593           	 350     	 1,023.6702 	 lucene
401 	 Q0 	 FBIS3-31228          	 351     	 1,022.7648 	 lucene
401 	 Q0 	 FR940110-1-00027     	 352     	 1,022.1033 	 lucene
401 	 Q0 	 FT932-15086          	 353     	 1,021.9479 	 lucene
401 	 Q0 	 FT934-1807           	 354     	 1,021.9324 	 lucene
401 	 Q0 	 FT932-572            	 355     	 1,021.3162 	 lucene
401 	 Q0 	 FBIS4-19303          	 356     	 1,021.2491 	 lucene
401 	 Q0 	 FBIS3-42964          	 357     	 1,021.2458 	 lucene
401 	 Q0 	 FBIS3-38602          	 358     	 1,020.5756 	 lucene
401 	 Q0 	 FBIS4-19447          	 359     	 1,020.5740 	 lucene
401 	 Q0 	 FBIS3-8160           	 360     	 1,020.0587 	 lucene
401 	 Q0 	 FT944-13933          	 361     	 1,019.9374 	 lucene
401 	 Q0 	 FT922-4102           	 362     	 1,019.7175 	 lucene
401 	 Q0 	 FBIS4-45046          	 363     	 1,019.4744 	 lucene
401 	 Q0 	 FT922-1639           	 364     	 1,019.0441 	 lucene
401 	 Q0 	 FR941019-2-00029     	 365     	 1,019.0328 	 lucene
401 	 Q0 	 FBIS4-49181          	 366     	 1,018.5508 	 lucene
401 	 Q0 	 FBIS4-36921          	 367     	 1,017.8628 	 lucene
401 	 Q0 	 FBIS3-17088          	 368     	 1,017.7706 	 lucene
401 	 Q0 	 FBIS3-19454          	 369     	 1,017.6024 	 lucene
401 	 Q0 	 FT922-4286           	 370     	 1,017.2432 	 lucene
401 	 Q0 	 FT922-7655           	 371     	 1,016.7155 	 lucene
401 	 Q0 	 FBIS4-41168          	 372     	 1,016.1282 	 lucene
